,0
0,69.09913
1,119.09621
2,172.07268
3,231.5354
4,289.69388
5,340.60425
6,411.66
7,498.3324
8,570.0038
9,637.5706
10,715.51935
11,805.58075
12,906.5675
13,1000.72577
14,1109.511
15,1212.4125
16,1335.0728
17,1452.1708
18,1595.3557
19,1737.0984
20,1888.6445
21,2029.7124
22,2223.3284
23,2404.8677
24,2599.4692
25,2784.84
26,3001.6714
27,3218.4814
28,3463.9995
29,3690.7412
30,3975.5935
31,4247.0044
32,4570.187
33,4888.1167
34,5250.175
35,5602.5396
36,6038.0903
37,6453.3784
38,6944.2207
39,7395.333
