epochs,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,3.6114137172698975,0.19430162012577057,2.4254143238067627,0.3986433148384094
1,2.075517177581787,0.4843173623085022,2.015287399291992,0.5021296739578247
2,1.757153868675232,0.5583547949790955,1.7343379259109497,0.5578955411911011
3,1.5951858758926392,0.5971508026123047,1.663372278213501,0.5762738585472107
4,1.481519103050232,0.6240556240081787,1.6047347784042358,0.593784511089325
5,1.3999860286712646,0.6445013284683228,1.5407477617263794,0.6143713593482971
6,1.3244394063949585,0.6619802713394165,1.5261058807373047,0.6117684245109558
7,1.2568373680114746,0.6781902313232422,1.4955161809921265,0.62628173828125
8,1.2017649412155151,0.6920627355575562,1.3949027061462402,0.649313747882843
9,1.1576975584030151,0.7025639414787292,1.3811333179473877,0.6643792390823364
10,1.1191755533218384,0.7126882076263428,1.4040186405181885,0.6554661393165588
11,1.0832523107528687,0.7214847803115845,1.3975881338119507,0.6639848351478577
12,1.054545283317566,0.7294998168945312,1.3502498865127563,0.6739233136177063
13,1.025138258934021,0.735993504524231,1.3993819952011108,0.6770784258842468
14,0.9995949864387512,0.7424076199531555,1.409715175628662,0.6703738570213318
15,0.9795644283294678,0.747774064540863,1.4597570896148682,0.6795235872268677
16,0.9569476246833801,0.7532511353492737,1.3799277544021606,0.6863858699798584
17,0.942409336566925,0.7579779028892517,1.3528789281845093,0.6974286437034607
18,0.9244450330734253,0.7627254128456116,1.4018484354019165,0.6814166307449341
19,0.906772792339325,0.7666983604431152,1.352513074874878,0.6914339661598206
20,0.8924705982208252,0.7705468535423279,1.3077367544174194,0.6922227740287781
21,0.8782444000244141,0.7734202146530151,1.277998924255371,0.6979807615280151
22,0.8639987111091614,0.7781573534011841,1.333055853843689,0.6971920132637024
23,0.8516343235969543,0.781622052192688,1.2562551498413086,0.706499457359314
24,0.8435459136962891,0.7832056879997253,1.266709327697754,0.6994005441665649
25,0.8346371054649353,0.7857851982116699,1.3384721279144287,0.6906452178955078
26,0.8237801790237427,0.7895091772079468,1.329783320426941,0.7046064138412476
27,0.8136847615242004,0.7911550402641296,1.3816403150558472,0.7079192399978638
28,0.8077285885810852,0.7937034368515015,1.2907088994979858,0.7101277709007263
29,0.7965168356895447,0.7966494560241699,1.291444182395935,0.7094178795814514
30,0.7889082431793213,0.7980670928955078,1.2277685403823853,0.718725323677063
31,0.7834668755531311,0.8000691533088684,1.4174329042434692,0.6897775530815125
32,0.7805383205413818,0.8009577989578247,1.5028859376907349,0.7005048394203186
33,0.769166111946106,0.8036859631538391,1.4502675533294678,0.7028711438179016
34,0.7630459666252136,0.8055877089500427,1.346292495727539,0.7192775011062622
35,0.7572090029716492,0.8066734671592712,1.6031681299209595,0.6908029913902283
36,0.7515910863876343,0.8084231019020081,1.789611577987671,0.6761319041252136
